file_keys,stim18_basketball_dribbling-LFM1,stim18_basketball_dribbling-LFM2,stim18_basketball_dribbling-NMF1,stim18_basketball_dribbling-NMF2,stim18_basketball_dribbling-TNMF1,stim18_basketball_dribbling-TNMF2,stim18_basketball_dribbling-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.03,0.03,0.25,0.03,0.2,0.24,0.03
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.16,0.27,0,0,0,0,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0,0,0,0,0,0,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.46,0.54,0.17,0.34,0.46,0.3,0.03
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.18,0.32,0.14,0.25,0.09,0.05,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.29,0.03,0.03,0.08,0.05,0.21,0.04
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0,0,0,0,0,0,0
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0,0.1,0.23,0.13,0.13,0.14,0
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.23,0.37,0,0,0,0,0
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.19,0.38,0.08,0.13,0.14,0.09,0
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.57,0.49,0.15,0.14,0.3,0.2,0
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.22,0.21,0.02,0.02,0.07,0.04,0
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.28,0.15,0.01,0.26,0.55,0.24,0
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.09,0.14,0.06,0.08,0.09,0.07,0.11
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.41,0.46,0.42,0.35,0.41,0.39,0.25
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.22,0.18,0.19,0.18,0.25,0.33,0.22
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.42,0.07,0.04,0.33,0.37,0.02,0
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.21,0.82,0.22,0.21,0.28,0.18,0.21
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.44,0.54,0.29,0.18,0.24,0.38,0
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.09,0,0,0,0,0,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.43,0.42,0,0,0,0,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.19,0.35,0.14,0.26,0.09,0.12,0.04
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.2,0.15,0.21,0.09,0.22,0.09,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.01,0.34,0,0,0,0,0
