file_keys,bell2-LFM1,bell2-LFM2,bell2-NMF1,bell2-NMF2,bell2-TNMF1,bell2-TNMF2,bell2-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.76,0.91,0.62,0.59,0.5,0.43,0.5
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.52,0.53,0.76,0.57,0.52,0.67,0.65
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0.25,0.76,0.5,0.5,0.25,0,0.25
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.72,0.77,0.69,0.69,0.64,0.43,0.53
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.54,0.66,0.11,0.11,0.16,0.23,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.29,0.56,0.43,0.46,0.5,0.55,0.34
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.5,0.5,0.24,0.25,0.5,0.5,0.25
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.51,0.47,0.83,0.52,0.68,0.41,0.41
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.51,0.34,0.35,0.46,0.47,0.33,0.52
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.43,0.42,0.39,0.35,0.39,0.39,0.33
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.55,0.72,0.49,0.5,0.64,0.25,0.43
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.51,0.51,0.51,0.11,0.44,0.43,0.11
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.49,0.54,0.26,0.54,0.06,0.03,0.44
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.36,0.4,0.49,0.31,0.3,0.4,0.37
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.45,0.3,0.42,0.44,0.49,0.44,0.25
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.81,0.57,0.82,0.52,0.54,0.68,0.58
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.44,0.41,0.44,0.31,0.48,0.31,0.25
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.76,0.33,0.27,0.37,0.55,0.14,0.68
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.89,0.89,0.72,0.69,0.5,0.43,0.36
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.35,0.5,0.1,0.23,0.24,0.23,0.24
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.72,0.67,0.67,0.69,0.56,0.25,0.54
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.59,0.16,0.52,0.6,0.09,0.07,0.26
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.39,0.33,0.4,0.29,0.44,0.39,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.5,0.27,0.47,0.35,0.36,0.36,0.25
