file_keys,bike_horn-LFM1,bike_horn-LFM2,bike_horn-NMF1,bike_horn-NMF2,bike_horn-TNMF1,bike_horn-TNMF2,bike_horn-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.48,0.62,0.5,0.47,0.5,0.69,0.48
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0,0,0,0,0,0,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0,0,0,0,0,0,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.45,0.54,0.5,0.59,0.49,0.5,0.24
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.14,0.11,0.28,0.07,0.13,0.07,0.21
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.34,0.37,0.38,0.67,0.06,0.39,0.06
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.51,0.24,0.5,0.51,0.5,0.25,0.26
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.32,0.29,0.32,0.29,0.44,0.22,0.56
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.21,0.22,0.21,0.23,0.53,0.25,0.38
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.35,0.42,0.46,0.44,0.38,0.39,0.12
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0,0,0,0,0,0,0
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.46,0.46,0.45,0.19,0.46,0.19,0.07
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.51,0.44,0.25,0.33,0.24,0.32,0
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.08,0.11,0.11,0.06,0.09,0.08,0.03
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.62,0.55,0.6,0.58,0.56,0.54,0.71
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.68,0.79,0.72,0.71,0.73,0.52,0.43
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.26,0.34,0.33,0.06,0.2,0.23,0.18
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.44,0.44,0.41,0.51,0.51,0.51,0.35
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.26,0.24,0.39,0.24,0.25,0.39,0.08
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.13,0.11,0.11,0.11,0.13,0.11,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.35,0.34,0.12,0.19,0.18,0.14,0.21
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.15,0.15,0.18,0.14,0.4,0.11,0.21
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.45,0.35,0.36,0.04,0.37,0.2,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.11,0.12,0.12,0.12,0.12,0.03,0.04
