file_keys,breathing-LFM1,breathing-LFM2,breathing-NMF1,breathing-NMF2,breathing-TNMF1,breathing-TNMF2,breathing-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.69,0.78,0.84,0.95,0.99,0.82,0.46
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.74,0.8,0.96,0.43,0.59,0.71,0.19
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0.5,0.76,0,0.25,0.5,0,0.51
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.74,0.53,0.54,0.54,0.6,0.71,0.5
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.02,0.64,0.48,0.36,0.13,0.12,0.64
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.49,0.01,0.08,0.43,0.5,0.72,0.04
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.48,0.73,0.24,0.82,0.24,0.5,0.5
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.99,0.75,0.81,0.84,0.75,0.71,0.87
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.71,0.71,0.71,0.72,0.75,0.63,0.48
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.37,0.5,0.5,0.4,0.17,0.56,0.19
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0,0.48,0,0.32,0,0.23,0.23
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.58,0.58,0.59,0.59,0.56,0.61,0.14
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.65,0.71,0.17,0.61,0.13,0.49,0.24
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.33,0.64,0.26,0.25,0.23,0.36,0.18
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.8,0.85,0.83,0.76,0.74,0.79,0.75
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.73,0.72,0.77,0.77,0.72,0.78,0.61
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.54,0.5,0.23,0.16,0.26,0.27,0.57
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.68,0.47,0.96,0.87,0.53,0.68,0.55
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.67,0.9,0.74,0.9,0.59,0.82,0.26
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.36,0.51,0.24,0.24,0.24,0.24,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.71,0.86,0.82,0.86,0.69,0.68,0.39
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.5,0.42,0.36,0.27,0.24,0.2,0.41
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.5,0.82,0.76,0.9,0.76,0.47,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.58,0.54,0.5,0.5,0.59,0.56,0.28
