file_keys,camera-LFM1,camera-LFM2,camera-NMF1,camera-NMF2,camera-TNMF1,camera-TNMF2,camera-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.44,0.44,0.43,0.44,0.44,0.41,0.04
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.29,0.27,0.2,0,0.27,0.27,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0,0,0,0,0,0,0.25
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.67,0.82,0.43,0.77,0.5,0.73,0.24
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.3,0.3,0.69,0.69,0.41,0.45,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.4,0.38,0.01,0.34,0,0.16,0.01
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.36,0.09,0.49,0.5,0.17,0.5,0.07
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.49,0.45,0.43,0.76,0.33,0.52,0.32
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.76,0.49,0.76,0.76,0.83,0.92,0.5
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.47,0.41,0.4,0.48,0.46,0.47,0.03
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.27,0.34,0.64,0.57,0.39,0.34,0.39
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.56,0.88,0.94,0.39,0.32,0.51,0.06
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.28,0.52,0.64,0.53,0.38,0.12,0.51
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.28,0.3,0.25,0.23,0.19,0.13,0.08
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.23,0.37,0.22,0.14,0.18,0.3,0.05
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.54,0.53,0.56,0.57,0.55,0.48,0.47
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.73,0.77,0.59,0.69,0.53,0.38,0.16
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.59,0.7,0.59,0.6,0.23,0.47,0.04
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.71,0.89,0.84,0.25,0.5,0.77,0.03
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.13,0.11,0.5,0.37,0.42,0.24,0.24
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.22,0.32,0.14,0.11,0.21,0.11,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.12,0.35,0.4,0.4,0.01,0.38,0
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.25,0.24,0.08,0.07,0.12,0.12,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.16,0.39,0.26,0.26,0.16,0.21,0
