file_keys,cymbal-LFM1,cymbal-LFM2,cymbal-NMF1,cymbal-NMF2,cymbal-TNMF1,cymbal-TNMF2,cymbal-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.9,0.99,0.59,0.59,0.63,0.68,0.18
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.58,0.96,0.46,0.66,0.37,0.47,0.35
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0.76,1,0.51,0.24,0.25,0.76,0.25
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.53,0.8,0.7,0.55,0.55,0.68,0.43
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.62,0.84,0.08,0.12,0.16,0.33,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.62,0.76,0.38,0.49,0.15,0.22,0.14
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.74,0.89,0.75,0.62,0.24,0.5,0.24
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.61,0.51,0.46,0.58,0.71,0.52,0.17
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.97,1,0.93,0.5,0.5,0.8,0.53
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.3,0.46,0.37,0.36,0.38,0.49,0.21
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.75,0.92,0.89,0.88,0.81,0.88,0.51
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.6,0.6,0.56,0.57,0.54,0.58,0.43
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.58,0.71,0.5,0.24,0.29,0.5,0.24
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.2,0.14,0.13,0.21,0.49,0.59,0.16
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.71,0.72,0.7,0.67,0.72,0.73,0.41
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.55,0.7,0.43,0.35,0.52,0.45,0.35
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.74,0.99,0.43,0.32,0.27,0.61,0.25
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.98,0.99,0.72,0.71,0.16,0.42,0.69
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.39,0.64,0.5,0.39,0.76,0.89,0.26
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.58,0.61,0.5,0.49,0.58,0.71,0.49
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.59,0.54,0.7,0.58,0.55,0.69,0.57
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.46,0.38,0.45,0.26,0.22,0.42,0.23
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.75,0.75,0.5,0.39,0.48,0.51,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.74,1,0.26,0.56,0.27,0.47,0.3
