file_keys,stim114_dishes_clanking-LFM1,stim114_dishes_clanking-LFM2,stim114_dishes_clanking-NMF1,stim114_dishes_clanking-NMF2,stim114_dishes_clanking-TNMF1,stim114_dishes_clanking-TNMF2,stim114_dishes_clanking-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.47,0.71,0.68,0.65,0.36,0.76,0
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.32,0.4,0.22,0.31,0.31,0.48,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0,0,0.25,0.25,0,0,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.76,0.62,0.49,0.49,0.39,0.8,0.01
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0,0.58,0.35,0.12,0.19,0.4,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.4,0.5,0.01,0.24,0.06,0.03,0.03
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.12,0.12,0.1,0.14,0,0.24,0
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.58,0.63,0.48,0.4,0.26,0.75,0.01
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.06,0.02,0.05,0.03,0.05,0.07,0.05
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.18,0.17,0.33,0.35,0.3,0.25,0
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.63,0.66,0.44,0.35,0.26,0.55,0
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.53,0.49,0.49,0.31,0.42,0.43,0.23
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.19,0.3,0.34,0.03,0.23,0.24,0.22
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.48,0,0.26,0.25,0,0,0
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.43,0.35,0.32,0.28,0.28,0.25,0.12
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.45,0.54,0.42,0.41,0.52,0.3,0.26
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.17,0.06,0,0.13,0.31,0.23,0.3
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.31,0.3,0.27,0.15,0.54,0.16,0.19
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.75,0.5,0.64,0.25,0.37,0.36,0
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.1,0.1,0.11,0.13,0.11,0.12,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.53,0.55,0.25,0.25,0.5,0.54,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.17,0.13,0.27,0.21,0.27,0.13,0.09
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0,0,0,0.1,0,0,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.33,0.41,0.05,0.05,0.11,0.12,0
