file_keys,glass-LFM1,glass-LFM2,glass-NMF1,glass-NMF2,glass-TNMF1,glass-TNMF2,glass-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.45,0.1,0.12,0.32,0.35,0.45,0.14
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.82,0.21,0,0.19,0.26,0.19,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0.51,0.51,0.25,0,0.51,0.25,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.71,0.78,0.47,0.47,0.63,0.52,0.19
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.68,0.59,0.23,0.22,0.08,0.12,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.76,0.86,0.17,0.65,0.09,0.59,0.02
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.51,0.5,0.04,0.02,0.03,0.09,0
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.72,0.26,0.12,0.21,0.68,0.28,0.15
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.46,0.22,0.44,0.21,0.12,0.18,0
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.36,0.35,0.34,0.12,0.29,0.37,0.08
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.59,0.58,0.37,0.45,0.46,0.3,0.07
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.57,0.6,0.5,0.37,0.48,0.48,0.21
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.7,0.41,0.16,0.38,0.34,0.49,0
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.49,0.25,0.09,0.02,0.02,0,0.03
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.5,0.5,0.31,0.3,0.33,0.32,0.07
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.47,0.59,0.46,0.59,0.52,0.44,0.3
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.86,0.84,0.59,0.62,0.48,0.55,0.26
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.43,0.38,0.21,0.18,0.19,0.22,0.15
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.87,0.76,0.41,0.38,0.67,0.5,0
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.24,0.05,0.11,0.09,0.11,0.05,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.67,0.59,0.24,0.26,0.25,0.26,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.44,0.32,0.34,0.35,0.4,0.3,0.27
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.21,0.11,0.21,0.22,0,0,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.33,0.32,0.05,0.05,0.13,0.18,0
