file_keys,gravel-LFM1,gravel-LFM2,gravel-NMF1,gravel-NMF2,gravel-TNMF1,gravel-TNMF2,gravel-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.39,0.57,0.75,0.43,0.02,0.24,0.03
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.83,0,0.28,0,0,0.69,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0.63,0.25,0.25,0.25,0.5,0.5,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.52,0.81,0.5,0.73,0.58,0.58,0
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.28,0.79,0.36,0.12,0.18,0.67,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.63,0.76,0.22,0.34,0.43,0.15,0
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.63,0.75,0.75,0.62,0.5,0.24,0
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.79,0.52,0.53,0.52,0.59,0.52,0.1
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.63,0.52,0.1,0.42,0.25,0.46,0.02
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.59,0.24,0.17,0.49,0.08,0.14,0
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.75,0.53,0.29,0.52,0.39,0.58,0.01
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.42,0.24,0.05,0.03,0.27,0.27,0
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.6,0.52,0.23,0.51,0.25,0.52,0.08
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.37,0.33,0.06,0.23,0.02,0.12,0
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.74,0.7,0.76,0.72,0.67,0.76,0.05
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.79,0.7,0.78,0.53,0.75,0.65,0.53
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.48,0.85,0.05,0.29,0.34,0.57,0.42
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.9,0.76,0.21,0.34,0.46,0.77,0.2
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.85,0.69,0.65,0.67,0.51,0.5,0.01
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.5,0.57,0.35,0.36,0.11,0.37,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.67,0.54,0.64,0.67,0.63,0.59,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.47,0.48,0.11,0.25,0.39,0.37,0
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.67,0.66,0.45,0.46,0.14,0.35,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.27,0.22,0.22,0.22,0.13,0.12,0
