file_keys,hammering-LFM1,hammering-LFM2,hammering-NMF1,hammering-NMF2,hammering-TNMF1,hammering-TNMF2,hammering-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.33,0.23,0.4,0.24,0.33,0.25,0.24
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.22,0.77,0.13,0.69,0.27,0.21,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0,0,0,0,0,0,0.12
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.71,0.44,0.19,0.27,0.44,0.44,0
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.55,0.69,0.38,0.47,0.09,0.12,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.46,0.03,0.01,0.4,0.18,0.5,0.32
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.15,0.17,0,0,0.01,0,0
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.4,0.27,0.13,0.15,0.05,0.16,0.1
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.1,0.1,0.11,0.12,0.14,0.11,0.09
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.29,0.3,0.32,0.24,0.2,0.16,0.12
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.1,0.14,0.23,0,0,0.09,0.03
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.05,0.3,0.22,0,0.02,0.11,0
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.49,0.06,0,0.15,0,0.18,0.46
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.19,0.11,0.13,0.15,0.14,0.12,0.32
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.24,0.19,0.17,0.16,0.25,0.16,0.26
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.35,0.15,0.22,0.28,0.23,0.29,0.13
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.21,0.26,0.23,0.39,0.25,0.29,0.02
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.6,0.22,0.2,0.29,0.49,0.2,0.18
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.64,0.69,0.56,0.25,0.32,0.39,0.07
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.1,0,0.11,0,0,0,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.48,0.34,0.38,0.48,0.4,0.37,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.31,0.32,0.08,0.23,0.1,0.08,0.15
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.22,0.23,0.1,0,0,0,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.08,0.14,0.02,0.07,0.04,0.04,0
