file_keys,keys-LFM1,keys-LFM2,keys-NMF1,keys-NMF2,keys-TNMF1,keys-TNMF2,keys-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.25,0.19,0.27,0.53,0.24,0.24,0.01
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.1,0.29,0,0,0.08,0.06,0
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0.51,0.25,0.5,0.25,0,0.5,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.12,0.25,0.12,0.23,0.2,0.11,0
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.41,0.58,0.44,0.51,0.19,0.24,0
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0.6,0,0.08,0.16,0.17,0.32,0.29
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0,0,0,0,0,0,0
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.43,0.47,0.23,0.31,0.26,0.39,0.03
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.11,0.08,0.08,0.1,0.08,0.08,0
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.24,0.37,0.08,0.36,0.19,0.21,0
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0.05,0.07,0.07,0.18,0,0.03,0
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.84,0.22,0.14,0.29,0.26,0.05,0.01
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.16,0.23,0.4,0.05,0.04,0.05,0.37
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.16,0.24,0.09,0.13,0.08,0.12,0.24
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.25,0.38,0.39,0.38,0.19,0.18,0.07
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.38,0.34,0.41,0.46,0.43,0.5,0.36
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.21,0.52,0.54,0.64,0.37,0.26,0.44
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.57,0.47,0.29,0.46,0.19,0.2,0.18
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.69,0.92,0.76,0.25,0.58,0.77,0.07
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0,0.1,0.09,0.24,0,0,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.49,0.5,0.41,0.41,0.29,0.29,0
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.28,0.26,0.13,0.24,0.27,0.16,0.11
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0.03,0.1,0.32,0.31,0.38,0.38,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.02,0.03,0.02,0.05,0.16,0.14,0
