file_keys,squeaky_stairs2-LFM1,squeaky_stairs2-LFM2,squeaky_stairs2-NMF1,squeaky_stairs2-NMF2,squeaky_stairs2-TNMF1,squeaky_stairs2-TNMF2,squeaky_stairs2-anchor
HqJA74nHx8F8G5KnXYYLmAQF4ph7VLoC,0.09,0.25,0.07,0.24,0.25,0.24,0.05
e7oSjCjrUt8qr61G0Q6X0JVVw1YVElIS,0.35,0.01,0.71,0.28,0.59,0.03,0.19
fHUwiTGQEIwz7fmj4TsiJoaeJickVsIb,0.01,0.24,0,0,0.25,0,0
M3bm3cY8NqXvs176GZlDBGvygZKFODtA,0.55,0.56,0.3,0.31,0.5,0.42,0.05
21KFBeTbbugk2DRokwuXHptv2SQw6SE8,0.49,0.48,0,0.16,0.22,0.02,0.05
GXSw9ANESCQdnhog1JprdNyFa6KIifMZ,0,0.03,0.05,0.02,0.33,0.37,0
xwxLjv1h7lTXX2H48FiaiBnkEfkXaIjI,0.13,0.03,0,0.03,0.04,0.03,0.04
V1D8kI9suGpJbhUCW1lX6BxtCTMw7r83,0.25,0.16,0.22,0.25,0.27,0.11,0.02
fFVYivWmmEzhRhoM52qh4zITGnziN0f2,0.13,0.11,0.13,0.12,0.28,0.12,0.11
9A33cgJihJOGlPkx0FKrXCZVsX38WZy6,0.32,0.33,0.12,0.34,0.36,0.38,0.12
ba1t2NoLAvKeT9kslWx0twJu1vqI2TNe,0,0,0,0.01,0,0,0
7dsxvnitvAGlV9k68UHvDu6ZeyvAHRUP,0.17,0.16,0.11,0.11,0.21,0.21,0.01
IjOjxSbZqGxstbD7nX3guAoHkJumPavy,0.22,0.24,0.19,0.08,0.18,0.02,0.21
kwyTCrHNYExQo1z8wIbtQIx37S7EvToQ,0.12,0.23,0.15,0.14,0.51,0.23,0.11
tI8wZzBRhYTBrTDX2KTtNhimyCPOi7HM,0.5,0.57,0.49,0.51,0.59,0.62,0.49
9dKDGIWtyYOl0MAcfEL5jFWY3CzCwirG,0.48,0.6,0.28,0.58,0.52,0.61,0.29
cEy42CCEP1M6PDnPBc2WQhqJy3GmofsA,0.21,0.1,0.37,0.42,0.41,0.33,0.28
Ns08sCTVb0gUSuiyVSfbWrSGkNztKXBy,0.8,0.73,0.21,0.21,0.32,0.4,0.22
sI6aN6AqOTUhAIVi8vZ8ImnejxR5B3m4,0.76,0.75,0.52,0.59,0.87,0.43,0.05
hLdj7PP52wTvKGYg7bVkq4l9FKccuQVM,0.23,0,0,0,0.12,0.12,0
vwxm9ko8sfjOKpFoK9cwyl73PBQgXUut,0.16,0.17,0.44,0.44,0.45,0.25,0.28
ZP7t6PQrJRGgRS88S4BOB1G68k0UzHsy,0.18,0.24,0.26,0.27,0.11,0.25,0.1
GU8FFbuVQ21M5xgDig4BbNYaK3g3KVkr,0,0,0.2,0.2,0.17,0,0
gbFeXy8LnJXDsBHFEf2rLfTxOixI6HEn,0.14,0.07,0.19,0.2,0.04,0.03,0
